iter	Logloss
0	0.6546253925
1	0.6202360551
2	0.5900051134
3	0.5628897504
4	0.5392592995
5	0.5182015937
6	0.499719072
7	0.4831855746
8	0.4691878612
9	0.4547013145
10	0.4422103662
11	0.4315942494
12	0.4220747368
13	0.413794863
14	0.4065970171
15	0.3997562535
16	0.3921173302
17	0.3846618338
18	0.3798390396
19	0.3739274187
20	0.3702025211
21	0.3654747109
22	0.3612214964
23	0.3587036261
24	0.3555174474
25	0.3524877603
26	0.3502605041
27	0.348739942
28	0.3466184229
29	0.3447304963
30	0.3430907587
31	0.3416157873
32	0.3401327615
33	0.338845746
34	0.3378765725
35	0.3368088498
36	0.3359425559
37	0.3352248285
38	0.3345656595
39	0.3338639967
40	0.33304325
41	0.332303811
42	0.3317323431
43	0.3312565737
44	0.3308275126
45	0.3303097931
46	0.3298024752
47	0.3293373584
48	0.3292402298
49	0.3289488338
50	0.3286007971
51	0.3283451827
52	0.3282841967
53	0.3280180905
54	0.3277768075
55	0.327650371
56	0.327431483
57	0.3272997692
58	0.3271268986
59	0.3268870444
60	0.3267108453
61	0.3265592712
62	0.3264446629
63	0.3262884238
64	0.3261459027
65	0.3260255917
66	0.3258810517
67	0.3257843554
68	0.3256531123
69	0.3256070529
70	0.3254487492
71	0.3254301495
72	0.3253092742
73	0.3252637964
74	0.3252013501
75	0.3251975617
76	0.3251936845
77	0.3250934207
78	0.3250570523
79	0.3250264931
80	0.3249993901
81	0.324890436
82	0.3248200877
83	0.3247856116
84	0.3247178838
85	0.3246588498
86	0.3245908032
87	0.3244977332
88	0.3244532416
89	0.3244212065
90	0.3243743626
91	0.3243391364
92	0.3243390118
93	0.3242869472
94	0.3242518685
95	0.3242518589
96	0.3242491671
97	0.3242277298
98	0.3241846933
99	0.3241398677
100	0.3241055895
101	0.3240470627
102	0.3240145662
103	0.3239558761
104	0.323931709
105	0.3239134926
106	0.3238561939
107	0.3238456673
108	0.3238456644
109	0.3238319471
110	0.3237987618
111	0.3237987561
112	0.3237922934
113	0.3237747258
114	0.3237389663
115	0.3237311169
116	0.3236851431
117	0.3236609933
118	0.3236457345
119	0.3236200968
120	0.3235996253
121	0.3235818286
122	0.3235448179
123	0.3235257067
124	0.3234923538
125	0.3234848927
126	0.3234723906
127	0.3234627854
128	0.3234523274
129	0.323442551
130	0.3234122599
131	0.3234003058
132	0.3233700694
133	0.3233402427
134	0.3233402311
135	0.3233402261
136	0.3233387096
137	0.323319517
138	0.323302924
139	0.3232740052
140	0.3232725105
141	0.3232457162
142	0.3232379989
143	0.3232308777
144	0.3232214223
145	0.3232125577
146	0.3231961024
147	0.3231583099
148	0.3231465513
149	0.3231032521
150	0.3230893441
151	0.3230879599
152	0.3230879583
153	0.3230642328
154	0.323062892
155	0.3230628877
156	0.3230464413
157	0.3230324869
158	0.3230281515
159	0.3230164085
160	0.3230096492
161	0.3230059542
162	0.3229873096
163	0.3229649828
164	0.3229585292
165	0.3229471534
166	0.3229364901
167	0.3229364703
168	0.3229273646
169	0.3229165649
170	0.322898078
171	0.3228891101
172	0.3228824965
173	0.322858147
174	0.3228544121
175	0.3228417393
176	0.322831395
177	0.3228248012
178	0.3228217394
179	0.3228099388
180	0.3227932252
181	0.3227798398
182	0.3227665026
183	0.3227564678
184	0.3227466954
185	0.3227403649
186	0.322727818
187	0.3227251724
188	0.3227021228
189	0.3226871879
190	0.3226742757
191	0.3226739179
